start_position,length,column_name
1,2,V0001
3,7,V0024
10,7,UPA_PNS
17,4,V0006_PNS
21,9,UPA
30,2,V0015
32,4,V0020
36,2,V0022
38,1,V0026
39,1,V0031
40,1,V0025
41,1,A001
42,1,A002
43,1,A003
44,1,A004
45,1,A005
46,1,A006
47,1,A007
48,1,A008
49,1,A009
50,2,A010
52,2,A011
54,1,A012
55,1,A013
56,2,A014
58,1,A015
59,1,A016
60,1,A017
61,1,A01801
62,1,A01802
63,1,A01803
64,1,A01804
65,1,A01805
66,1,A01806
67,1,A01807
68,1,A01808
69,1,A01809
70,1,A01810
71,1,A01811
72,1,A01812
73,1,A01813
74,1,A01814
75,1,A01815
76,1,A01816
77,1,A01817
78,1,A01818
79,1,A019
80,1,A020
81,1,A021
82,1,A022
83,3,A02301
86,3,A02302
89,3,A02303
92,3,A02304
95,1,A024
96,1,B001
97,1,B002
98,1,B003
99,1,B004
100,2,C001
102,2,C00301
104,2,C004
106,1,C006
107,2,C00701
109,2,C00702
111,4,C00703
115,3,C008
118,1,C009
119,1,C010
120,1,C011
121,1,C012
122,1,D001
123,1,D002
124,1,D003
125,1,D004
126,1,D005
127,1,D006
128,1,D007
129,1,D008
130,2,D009
132,1,D010
133,1,D011
134,1,D012
135,1,D013
136,1,D014
137,1,D015
138,1,E001
139,1,E002
140,1,E003
141,1,E004
142,1,E005
143,1,E006
144,1,E007
145,1,E008
146,2,E01001
148,2,E01002
150,2,E01003
152,1,E011
153,4,E01201
157,1,E014
158,5,E01501
163,1,E01601
164,8,E01602
172,1,E01603
173,8,E01604
181,1,E01605
182,3,E017
185,1,E01801
186,8,E01802
194,1,E01803
195,8,E01804
203,1,E01805
204,3,E019
207,1,E020
208,1,E021
209,1,E022
210,2,E023
212,2,E024
214,1,E025
215,2,E02501
217,2,E02502
219,1,E026
220,1,E027
221,1,F001
222,8,F00102
230,1,F007
231,8,F00702
239,1,F008
240,8,F00802
248,1,VDF001
249,8,VDF00102
257,1,G001
258,1,G002
259,2,G00201
261,1,G003
262,1,G004
263,1,G005
264,1,G006
265,1,G007
266,2,G00701
268,2,G008
270,1,G009
271,1,G010
272,1,G014
273,1,G015
274,2,G01501
276,1,G016
277,1,G017
278,1,G018
279,1,G021
280,1,G022
281,2,G02201
283,1,G023
284,1,G024
285,1,G02501
286,1,G02502
287,1,G02503
288,1,G026
289,1,G027
290,1,G032
291,1,I001
292,2,I002
294,1,I003
295,1,I004
296,1,I005
297,1,I006
298,1,I007
299,2,I00701
301,1,I008
302,2,I009
304,1,I010
305,1,I011
306,1,J001
307,1,J002
308,2,J003
310,2,J004
312,1,J005
313,2,J006
315,1,J007
316,1,J008
317,1,J009
318,2,J010
320,1,J011
321,3,J012
324,1,J013
325,1,J014
326,2,J015
328,2,J016
330,1,J017
331,1,J018
332,2,J019
334,2,J020
336,1,J021
337,1,J022
338,1,J023
339,1,J024
340,1,J025
341,1,J026
342,2,J027
344,1,J029
345,1,J030
346,1,J031
347,1,J032
348,1,J033
349,1,J034
350,1,J035
351,2,J036
353,1,J037
354,2,J038
356,1,J039
357,2,J04001
359,2,J04002
361,1,J041
362,1,J042
363,1,J043
364,1,J044
365,1,J045
366,1,J046
367,1,J047
368,1,J048
369,1,J049
370,1,J050
371,1,J051
372,1,J052
373,1,J053
374,1,J054
375,1,J055
376,1,J056
377,1,J057
378,1,J058
379,1,J059
380,1,J060
381,1,K001
382,1,K002
383,1,K003
384,1,K004
385,1,K005
386,1,K006
387,1,K007
